==========
Args:Namespace(dataset='datasets/eccv16_dataset_summe_google_pool5.h5', userscore='datasets/summarizer_dataset_tvsum_google_pool5.h5', split='datasets/summe_splits_2.json', split_id=3, metric='summe', input_dim=1024, hidden_dim=512, num_layers=2, rnn_cell='gru', lr=1e-05, weight_decay=1e-05, max_epoch=60, stepsize=30, gamma=0.1, num_episode=5, beta=0.01, seed=1, gpu='0', use_cpu=False, evaluate=False, save_dir='log/imgtext/attn_capsum2_gru_768_e1_s2_lcost_rimgsum/summe-split3-mode1-e60', resume='', verbose=True, save_results=True, reward_mode=1, text_embedding='./dataset_img2text/text_embedding/summe/llava-v1.6-mistral-7b-hf/v1/mpnet/')
==========
Currently using GPU 0
Initialize dataset datasets/eccv16_dataset_summe_google_pool5.h5
# total videos 25. # train videos 20. # test videos 5
Initialize model
==> Start training
epoch 1/60	 reward 1.5222572934627534	 loss 5.397401332855225
epoch 2/60	 reward 1.5224580562114716	 loss 4.713479995727539
epoch 3/60	 reward 1.5220701730251316	 loss 4.416914939880371
epoch 4/60	 reward 1.5219050991535183	 loss 3.7285923957824707
epoch 5/60	 reward 1.5221383357048033	 loss 3.786095380783081
epoch 6/60	 reward 1.52201149225235	 loss 3.22353196144104
epoch 7/60	 reward 1.5215277361869812	 loss 2.7053990364074707
epoch 8/60	 reward 1.5206840705871583	 loss 2.581181764602661
epoch 9/60	 reward 1.5219083821773531	 loss 2.3591084480285645
epoch 10/60	 reward 1.5220707118511199	 loss 2.116424560546875
epoch 11/60	 reward 1.5218319177627562	 loss 1.6149781942367554
epoch 12/60	 reward 1.5221205711364747	 loss 1.6573718786239624
epoch 13/60	 reward 1.5213805139064787	 loss 1.5307343006134033
epoch 14/60	 reward 1.5207994103431701	 loss 1.3488738536834717
epoch 15/60	 reward 1.5201571202278137	 loss 1.224096655845642
epoch 16/60	 reward 1.5229269254207614	 loss 1.129872441291809
epoch 17/60	 reward 1.521919777393341	 loss 0.9468858242034912
epoch 18/60	 reward 1.5226106679439544	 loss 0.8830810785293579
epoch 19/60	 reward 1.5216252827644348	 loss 0.8192455172538757
epoch 20/60	 reward 1.5225833833217621	 loss 0.7116084098815918
epoch 21/60	 reward 1.5212886810302735	 loss 0.583023726940155
epoch 22/60	 reward 1.5208770775794984	 loss 0.47097450494766235
epoch 23/60	 reward 1.5212120401859281	 loss 0.5061401128768921
epoch 24/60	 reward 1.5204959547519685	 loss 0.4583323001861572
epoch 25/60	 reward 1.5220073282718656	 loss 0.4270702302455902
epoch 26/60	 reward 1.5210710501670839	 loss 0.3864859342575073
epoch 27/60	 reward 1.520914959907532	 loss 0.3452226519584656
epoch 28/60	 reward 1.5211189353466035	 loss 0.2905350923538208
epoch 29/60	 reward 1.5210245895385743	 loss 0.29589328169822693
epoch 30/60	 reward 1.5234881913661957	 loss 0.2645998001098633
epoch 31/60	 reward 1.5217481768131258	 loss 0.2149355262517929
epoch 32/60	 reward 1.52279257774353	 loss 0.21012280881404877
epoch 33/60	 reward 1.5213860225677491	 loss 0.18936093151569366
epoch 34/60	 reward 1.5216396319866181	 loss 0.17328254878520966
epoch 35/60	 reward 1.5232195127010346	 loss 0.13373129069805145
epoch 36/60	 reward 1.5225592410564424	 loss 0.1383151113986969
epoch 37/60	 reward 1.5214890539646149	 loss 0.12168501317501068
epoch 38/60	 reward 1.521446249485016	 loss 0.0926559567451477
epoch 39/60	 reward 1.5221213304996488	 loss 0.10141000151634216
epoch 40/60	 reward 1.521244066953659	 loss 0.09391878545284271
epoch 41/60	 reward 1.520351642370224	 loss 0.07357893884181976
epoch 42/60	 reward 1.5224226868152617	 loss 0.07688581943511963
epoch 43/60	 reward 1.5228932940959932	 loss 0.06599997729063034
epoch 44/60	 reward 1.5224478316307068	 loss 0.06091305613517761
epoch 45/60	 reward 1.523229238986969	 loss 0.06622157245874405
epoch 46/60	 reward 1.5225921630859376	 loss 0.05188845098018646
epoch 47/60	 reward 1.5212179708480835	 loss 0.027609651908278465
epoch 48/60	 reward 1.5227723252773286	 loss 0.046827301383018494
epoch 49/60	 reward 1.523152581453323	 loss 0.07024851441383362
epoch 50/60	 reward 1.5230199384689331	 loss 0.049053143709897995
epoch 51/60	 reward 1.5223592936992645	 loss 0.048275403678417206
epoch 52/60	 reward 1.5243607091903686	 loss 0.0011044384445995092
epoch 53/60	 reward 1.521330384016037	 loss 0.020004715770483017
epoch 54/60	 reward 1.5233012318611145	 loss 0.018218085169792175
epoch 55/60	 reward 1.5222413206100465	 loss 0.026567181572318077
epoch 56/60	 reward 1.5220692086219787	 loss 0.014659566804766655
epoch 57/60	 reward 1.5218585646152496	 loss 0.016239766031503677
epoch 58/60	 reward 1.5231116235256192	 loss 0.020948775112628937
epoch 59/60	 reward 1.5232714605331423	 loss 0.00986482948064804
epoch 60/60	 reward 1.5233551824092866	 loss 0.017446571961045265
==> Test
---  --------  -------
No.  Video     F-score
1    video_1   65.0%
2    video_13  29.1%
3    video_14  45.0%
4    video_18  53.5%
5    video_25  77.7%
---  --------  -------
Average F1-score 54.1%
Finished. Total elapsed time (h:m:s): 0:00:10
Model saved to log/imgtext/attn_capsum2_gru_768_e1_s2_lcost_rimgsum/summe-split3-mode1-e60/summe_model_epoch_60_split_id_3-gru.pth.tar
