==========
Args:Namespace(dataset='datasets/eccv16_dataset_summe_google_pool5.h5', userscore='datasets/summarizer_dataset_tvsum_google_pool5.h5', split='datasets/summe_splits_2.json', split_id=4, metric='summe', input_dim=1024, hidden_dim=512, num_layers=2, rnn_cell='gru', lr=1e-05, weight_decay=1e-05, max_epoch=60, stepsize=30, gamma=0.1, num_episode=5, beta=0.01, seed=1, gpu='0', use_cpu=False, evaluate=False, save_dir='log/imgtext/attn_capsum2_gru_768_e1_s2_lcost_rimgsum/summe-split4-mode1-e60', resume='', verbose=True, save_results=True, reward_mode=1, text_embedding='./dataset_img2text/text_embedding/summe/llava-v1.6-mistral-7b-hf/v1/mpnet/')
==========
Currently using GPU 0
Initialize dataset datasets/eccv16_dataset_summe_google_pool5.h5
# total videos 25. # train videos 20. # test videos 5
Initialize model
==> Start training
epoch 1/60	 reward 1.5287625765800477	 loss 5.072538375854492
epoch 2/60	 reward 1.5291476321220396	 loss 4.591464042663574
epoch 3/60	 reward 1.528868417739868	 loss 4.231801986694336
epoch 4/60	 reward 1.527395715713501	 loss 3.700425624847412
epoch 5/60	 reward 1.5274784505367278	 loss 3.34209942817688
epoch 6/60	 reward 1.5264715826511384	 loss 3.2082598209381104
epoch 7/60	 reward 1.526901594400406	 loss 2.9883341789245605
epoch 8/60	 reward 1.5260815823078155	 loss 2.717705726623535
epoch 9/60	 reward 1.5277789294719695	 loss 2.2579259872436523
epoch 10/60	 reward 1.5257980000972748	 loss 2.1077451705932617
epoch 11/60	 reward 1.5270281410217286	 loss 1.9626257419586182
epoch 12/60	 reward 1.5264267563819887	 loss 1.5072715282440186
epoch 13/60	 reward 1.5273775827884675	 loss 1.4719665050506592
epoch 14/60	 reward 1.5276757252216338	 loss 1.4031083583831787
epoch 15/60	 reward 1.527569510936737	 loss 1.3061623573303223
epoch 16/60	 reward 1.5287238574028017	 loss 1.1139130592346191
epoch 17/60	 reward 1.5276366877555847	 loss 1.0001530647277832
epoch 18/60	 reward 1.526069300174713	 loss 0.8669298887252808
epoch 19/60	 reward 1.5269026708602904	 loss 0.8017815351486206
epoch 20/60	 reward 1.5270977890491486	 loss 0.7243002653121948
epoch 21/60	 reward 1.5271297860145572	 loss 0.6649816632270813
epoch 22/60	 reward 1.526685302257538	 loss 0.5327235460281372
epoch 23/60	 reward 1.5275896096229553	 loss 0.5352557897567749
epoch 24/60	 reward 1.52635479927063	 loss 0.4715249836444855
epoch 25/60	 reward 1.528151239156723	 loss 0.4572756886482239
epoch 26/60	 reward 1.5262097573280333	 loss 0.357578307390213
epoch 27/60	 reward 1.5270698845386508	 loss 0.3293522298336029
epoch 28/60	 reward 1.5270651507377624	 loss 0.29267171025276184
epoch 29/60	 reward 1.524635875225067	 loss 0.2740226686000824
epoch 30/60	 reward 1.5272909677028657	 loss 0.24979254603385925
epoch 31/60	 reward 1.5263689422607425	 loss 0.22800394892692566
epoch 32/60	 reward 1.52746479511261	 loss 0.20603056252002716
epoch 33/60	 reward 1.527453489303589	 loss 0.17158231139183044
epoch 34/60	 reward 1.5269890666007995	 loss 0.16826878488063812
epoch 35/60	 reward 1.5266142630577089	 loss 0.1665528416633606
epoch 36/60	 reward 1.5283339071273805	 loss 0.15286239981651306
epoch 37/60	 reward 1.5288903152942657	 loss 0.11194467544555664
epoch 38/60	 reward 1.5276729023456572	 loss 0.13984328508377075
epoch 39/60	 reward 1.5274748229980468	 loss 0.0917874202132225
epoch 40/60	 reward 1.528175746202469	 loss 0.09411922842264175
epoch 41/60	 reward 1.5290053367614749	 loss 0.08843095600605011
epoch 42/60	 reward 1.5263486766815186	 loss 0.06715603172779083
epoch 43/60	 reward 1.5277166545391085	 loss 0.07500835508108139
epoch 44/60	 reward 1.5276707100868225	 loss 0.08073550462722778
epoch 45/60	 reward 1.525288052558899	 loss 0.051190927624702454
epoch 46/60	 reward 1.5268067085742951	 loss 0.04617094248533249
epoch 47/60	 reward 1.5280406832695008	 loss 0.08663798868656158
epoch 48/60	 reward 1.527256180047989	 loss 0.029194610193371773
epoch 49/60	 reward 1.5279813849925994	 loss 0.032726190984249115
epoch 50/60	 reward 1.5267521417140961	 loss 0.03170406073331833
epoch 51/60	 reward 1.5264591062068937	 loss 0.02493879571557045
epoch 52/60	 reward 1.5278502094745634	 loss 0.03668997809290886
epoch 53/60	 reward 1.5273034584522247	 loss 0.027307486161589622
epoch 54/60	 reward 1.5261638963222501	 loss 0.021927744150161743
epoch 55/60	 reward 1.527773313522339	 loss -0.0036989273503422737
epoch 56/60	 reward 1.5291019392013552	 loss 0.013097226619720459
epoch 57/60	 reward 1.5278252148628233	 loss 0.008490335196256638
epoch 58/60	 reward 1.5284438633918762	 loss 0.02178269438445568
epoch 59/60	 reward 1.527684773206711	 loss 0.02254011482000351
epoch 60/60	 reward 1.527504985332489	 loss 0.0261935256421566
==> Test
---  --------  -------
No.  Video     F-score
1    video_11  60.2%
2    video_15  55.1%
3    video_22  37.1%
4    video_24  23.8%
5    video_25  77.7%
---  --------  -------
Average F1-score 50.8%
Finished. Total elapsed time (h:m:s): 0:00:10
Model saved to log/imgtext/attn_capsum2_gru_768_e1_s2_lcost_rimgsum/summe-split4-mode1-e60/summe_model_epoch_60_split_id_4-gru.pth.tar
