==========
Args:Namespace(dataset='datasets/eccv16_dataset_tvsum_google_pool5.h5', userscore='datasets/summarizer_dataset_tvsum_google_pool5.h5', split='datasets/tvsum_splits_2.json', split_id=2, metric='tvsum', input_dim=1024, hidden_dim=512, num_layers=2, rnn_cell='gru', lr=1e-05, weight_decay=1e-05, max_epoch=60, stepsize=30, gamma=0.1, num_episode=5, beta=0.01, seed=1, gpu='0', use_cpu=False, evaluate=False, save_dir='log/imgtext/attn_capsum2_gru_768_e1_s2_lcost_rimgsum/tvsum-split2-mode1-e60', resume='', verbose=True, save_results=True, reward_mode=1, text_embedding='./dataset_img2text/text_embedding/tvsum/llava-v1.6-mistral-7b-hf/v1/mpnet/')
==========
Currently using GPU 0
Initialize dataset datasets/eccv16_dataset_tvsum_google_pool5.h5
# total videos 50. # train videos 40. # test videos 10
Initialize model
==> Start training
epoch 1/60	 reward 1.3931497663259507	 loss 5.088723659515381
epoch 2/60	 reward 1.3919361704587936	 loss 4.311997890472412
epoch 3/60	 reward 1.394422828555107	 loss 3.8516104221343994
epoch 4/60	 reward 1.3939026713371276	 loss 3.6851389408111572
epoch 5/60	 reward 1.3948727160692216	 loss 2.930143356323242
epoch 6/60	 reward 1.3959351247549059	 loss 2.6521854400634766
epoch 7/60	 reward 1.3955896639823913	 loss 2.786273956298828
epoch 8/60	 reward 1.3952293282747268	 loss 2.2973849773406982
epoch 9/60	 reward 1.396216694116592	 loss 2.07491397857666
epoch 10/60	 reward 1.3951788431406023	 loss 1.9219375848770142
epoch 11/60	 reward 1.3955236613750457	 loss 1.792725682258606
epoch 12/60	 reward 1.3959360140562058	 loss 1.5784668922424316
epoch 13/60	 reward 1.3959601747989656	 loss 1.3690340518951416
epoch 14/60	 reward 1.396234467625618	 loss 1.3097827434539795
epoch 15/60	 reward 1.395631492137909	 loss 1.0809695720672607
epoch 16/60	 reward 1.395338957309723	 loss 0.9716750383377075
epoch 17/60	 reward 1.3949158662557601	 loss 1.0010676383972168
epoch 18/60	 reward 1.3948510485887529	 loss 0.8080544471740723
epoch 19/60	 reward 1.3955685901641846	 loss 0.6841272115707397
epoch 20/60	 reward 1.3947664988040924	 loss 0.6121089458465576
epoch 21/60	 reward 1.3956397849321367	 loss 0.6359540224075317
epoch 22/60	 reward 1.3952527189254762	 loss 0.5621236562728882
epoch 23/60	 reward 1.395457856655121	 loss 0.46875637769699097
epoch 24/60	 reward 1.3965826785564424	 loss 0.41335922479629517
epoch 25/60	 reward 1.3953581631183625	 loss 0.3653171956539154
epoch 26/60	 reward 1.3959700977802276	 loss 0.3450735807418823
epoch 27/60	 reward 1.3961673271656037	 loss 0.29339566826820374
epoch 28/60	 reward 1.3968522095680236	 loss 0.3025919795036316
epoch 29/60	 reward 1.3959192645549774	 loss 0.260861337184906
epoch 30/60	 reward 1.3950732147693636	 loss 0.2251536250114441
epoch 31/60	 reward 1.3971711426973343	 loss 0.18245536088943481
epoch 32/60	 reward 1.397113744020462	 loss 0.1952802985906601
epoch 33/60	 reward 1.3954067534208296	 loss 0.16707003116607666
epoch 34/60	 reward 1.397223287820816	 loss 0.1284116506576538
epoch 35/60	 reward 1.3967385017871856	 loss 0.148454949259758
epoch 36/60	 reward 1.3973625332117081	 loss 0.11370730400085449
epoch 37/60	 reward 1.3962133419513703	 loss 0.09764030575752258
epoch 38/60	 reward 1.396310585141182	 loss 0.06944471597671509
epoch 39/60	 reward 1.3972444671392439	 loss 0.11372584849596024
epoch 40/60	 reward 1.3968958950042725	 loss 0.086663618683815
epoch 41/60	 reward 1.3983322542905807	 loss 0.08360680937767029
epoch 42/60	 reward 1.398220654129982	 loss 0.055336643010377884
epoch 43/60	 reward 1.3973134368658067	 loss 0.06507369875907898
epoch 44/60	 reward 1.3971667140722275	 loss 0.04744494706392288
epoch 45/60	 reward 1.3976478803157808	 loss 0.05216831713914871
epoch 46/60	 reward 1.3977339881658555	 loss 0.06839911639690399
epoch 47/60	 reward 1.3989986407756807	 loss 0.03202600032091141
epoch 48/60	 reward 1.3981408464908598	 loss 0.036951564252376556
epoch 49/60	 reward 1.3979019397497177	 loss 0.024443084374070168
epoch 50/60	 reward 1.3988158237934114	 loss 0.019586775451898575
epoch 51/60	 reward 1.3992420774698258	 loss 0.030010834336280823
epoch 52/60	 reward 1.3988449716567994	 loss 0.04916319251060486
epoch 53/60	 reward 1.399642159938812	 loss 0.019386177882552147
epoch 54/60	 reward 1.3991497868299485	 loss 0.0181590486317873
epoch 55/60	 reward 1.399216321706772	 loss 0.019201111048460007
epoch 56/60	 reward 1.3996392506361006	 loss 0.016948238015174866
epoch 57/60	 reward 1.3993835508823396	 loss -0.00610395148396492
epoch 58/60	 reward 1.3996879041194916	 loss 0.01465771533548832
epoch 59/60	 reward 1.399314852952957	 loss 0.020450113341212273
epoch 60/60	 reward 1.4007572793960572	 loss 0.006975136697292328
==> Test
---  --------  -------
No.  Video     F-score
1    video_16  68.3%
2    video_19  51.0%
3    video_27  49.0%
4    video_31  66.9%
5    video_32  67.3%
6    video_4   62.6%
7    video_47  57.1%
8    video_50  56.2%
9    video_7   55.1%
10   video_9   56.6%
---  --------  -------
Average F1-score 59.0%
Finished. Total elapsed time (h:m:s): 0:00:41
Model saved to log/imgtext/attn_capsum2_gru_768_e1_s2_lcost_rimgsum/tvsum-split2-mode1-e60/tvsum_model_epoch_60_split_id_2-gru.pth.tar
